COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAME,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,Cod_SPro,UNIVERSITY,ACADEMIC_PROGRAM,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,FEP_PRO,G_SC,PERCENTILE,2ND_DECILE,QUARTILE,SEL,SEL_IHE
SB11201420259617,F,Complete professional education,Complete technique or technology,Retired,Executive,Stratum 4,Level 2,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,"Yes, 20 hours or more per week",COL SUPERIOR AMERICANO,PRIVATE,ACADEMIC,64,54,44,59,58,EK201830017582,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-BOGOTÁ D.C.,CIVIL ENGINEERING,11,34,4,47,72,142,128,22,2,1,4,3
SB11201420259743,F,Incomplete technical or technological,Complete technique or technology,Operator,Executive,Stratum 3,Level 2,Six,,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COLEGIO CLASS (IED),PUBLIC,TECHNICAL/ACADEMIC,58,78,71,71,60,EK201830091564,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",INDUSTRIAL ENGINEERING,89,94,86,68,15,68,169,82,5,4,1,3
SB11201420259885,F,Complete professional education,Complete professional education,Entrepreneur ,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Six,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO EUCARISTICO DE LA MERCED,PRIVATE,ACADEMIC,72,61,63,64,81,EK201830033168,UNIVERSIDAD AUTONOMA DEL CARIBE-BARRANQUILLA,MECHANICAL ENGINEERING,81,80,87,96,59,169,179,90,5,4,4,2
SB11201420260551,M,Postgraduate education,Complete professional education,Technical or professional level employee,Home,Stratum 1,Level 1,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,INSTITUCION EDUCATIVA ANTONIO NARIÑO,PUBLIC,ACADEMIC,83,54,67,76,65,EK201830226163,UNIVERSIDAD TECNOLOGICA DE BOLIVAR-CARTAGENA,MECHANICAL ENGINEERING,97,90,81,76,27,186,174,87,5,4,3,2
SB11201420260816,M,Complete professional education,Complete professional education,Independent,Operator,Stratum 3,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COL DEL BOSQUE,PRIVATE,ACADEMIC,99,78,80,93,100,EK201830042099,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ELECTRONIC ENGINEERING,98,91,78,99,87,212,195,98,5,4,2,4
SB11201420261558,M,Complete primary ,Incomplete Secundary,Independent,Independent,Stratum 1,Level 1,Four,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,"Yes, less than 20 hours per week",I.E. GUILLERMO LEON VALENCIA,PUBLIC,TECHNICAL/ACADEMIC,58,54,53,64,60,EK201830169729,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-OCAÑA,MECHANICAL ENGINEERING,92,35,13,77,21,147,146,50,3,3,1,2
SB11201420262186,F,Incomplete Secundary,Complete professional education,Independent,Home,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,INSTITUTO TECNICO INDUSTRIAL RAFAEL REYES-DUITAMA,PUBLIC,TECHNICAL,70,60,61,65,60,EK201830022042,"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",CIVIL ENGINEERING,96,5,69,33,50,50,147,52,3,3,1,4
SB11201420262298,M,Complete primary ,Complete primary ,Independent,Small entrepreneur ,Stratum 1,Level 1,Four,,No,No,No,No,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,PUBLIC,TECHNICAL/ACADEMIC,70,72,66,62,60,EK201830039177,"ESCUELA MILITAR DE AVIACION""MARCO FIDEL SUAREZ""-CALI",MECHANICAL ENGINEERING,63,30,62,48,32,32,145,48,3,2,1,4
SB11201420264164,F,Complete professional education,Incomplete Professional Education,Retired,Entrepreneur ,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,COLEGIO CRISTO REY BOGOTA,PRIVATE,ACADEMIC,85,72,69,80,100,EK201830148295,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,CIVIL ENGINEERING,98,83,98,94,73,164,193,97,5,4,4,4
SB11201420264260,M,Complete Secundary,Complete Secundary,Operator,Home,Stratum 2,Level 2,Five,,No,No,No,No,No,No,No,Yes,No,Yes,Between 1 and less than 2 LMMW,No,I. E. SAN LUIS,PUBLIC,TECHNICAL/ACADEMIC,67,69,71,66,51,EK201830065371,POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,7,3,3,4,6,88,97,2,1,1,2,2
SB11201420265838,M,Complete technique or technology,Complete Secundary,Retired,Home,Stratum 3,It is not classified by the SISBEN,Six,,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Between 1 and less than 2 LMMW,No,COL MILITAR INOCENCIO CHINCA,PRIVATE,ACADEMIC,63,58,60,62,60,EK201830210362,UNIVERSIDAD DE IBAGUE-IBAGUE,MECHANICAL ENGINEERING,73,71,5,83,18,87,146,50,3,3,2,2
SB11201420269102,F,Not sure,Postgraduate education,Other occupation,Home,Stratum 5,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,less than 1 LMMW,No,COL DEL INMACULADO CORAZON DE MARIA - FRANCISCANAS DE M.I.-PEREIRA,PRIVATE,TECHNICAL,59,63,56,54,73,EK201830031685,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,38,54,22,78,0,143,116,9,1,1,3,2
SB11201420269111,F,Complete professional education,Complete professional education,Other occupation,Retired,Stratum 4,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COL DEL INMACULADO CORAZON DE MARIA - FRANCISCANAS DE M.I.-PEREIRA,PRIVATE,TECHNICAL,61,51,51,60,69,EK201830031605,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,77,42,75,72,6,151,150,57,3,3,4,2
